
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
1C:7E:E5:D0:29:E6, 2024-12-14 11:25:14, 2024-12-14 11:25:14, 11,  54, WEP, WEP,   , -126,        4,        2,   0.  0.  0.  0,  14, beeline-router, 
00:25:00:FF:94:73, 2024-12-14 11:25:14, 2024-12-14 11:25:14, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
30:03:C8:38:ED:45, 2024-12-14 11:25:11, 2024-12-14 11:25:11, -84,        3, B6:67:72:2C:2E:B0,
C8:15:4E:64:0E:C4, 2024-12-14 11:25:11, 2024-12-14 11:25:11, -73,        1, D6:40:76:C4:24:5C,
30:03:C8:20:39:B0, 2024-12-14 11:25:13, 2024-12-14 11:25:13, -70,        3, (not associated) ,unconfigured
62:3D:8D:EF:3C:F8, 2024-12-14 11:25:14, 2024-12-14 11:25:14, -34,        3, 1C:7E:E5:D0:29:E6,
B0:52:16:6A:54:5D, 2024-12-14 11:25:14, 2024-12-14 11:25:14, -73,        2, (not associated) ,RT_
D2:7E:C2:C9:BE:1B, 2024-12-14 11:25:14, 2024-12-14 11:25:14, -40,        3, 00:25:00:FF:94:73,
1E:21:09:CA:69:0F, 2024-12-14 11:25:14, 2024-12-14 11:25:14, -36,        2, 00:25:00:FF:94:73,
5C:E9:1E:93:27:3A, 2024-12-14 11:25:14, 2024-12-14 11:25:14, -64,       16, 9E:8F:81:D8:7D:25,
46:DA:83:12:93:81, 2024-12-14 11:25:14, 2024-12-14 11:25:14, -77,        1, (not associated) ,mipt-ng
5E:AD:CF:1E:C5:0D, 2024-12-14 11:25:15, 2024-12-14 11:25:15, -76,        2, (not associated) ,
48:E7:DA:AA:73:D1, 2024-12-14 11:25:15, 2024-12-14 11:25:15, -54,        3, 82:57:9D:B6:28:9A,
A0:BD:1D:53:31:A4, 2024-12-14 11:25:16, 2024-12-14 11:25:16, -86,        3, (not associated) ,AndroidAPBD28

